001  00256 |Loss: 2.154 | Acc: 21.521% 
001  00257 |Loss: 2.153 | Acc: 21.559% 
001  00258 |Loss: 2.152 | Acc: 21.548% 
001  00259 |Loss: 2.153 | Acc: 21.489% 
001  00260 |Loss: 2.152 | Acc: 21.526% 
001  00261 |Loss: 2.151 | Acc: 21.516% 
001  00262 |Loss: 2.152 | Acc: 21.517% 
001  00263 |Loss: 2.151 | Acc: 21.519% 
001  00264 |Loss: 2.151 | Acc: 21.567% 
001  00265 |Loss: 2.152 | Acc: 21.509% 
001  00266 |Loss: 2.150 | Acc: 21.534% 
001  00267 |Loss: 2.151 | Acc: 21.571% 
001  00268 |Loss: 2.150 | Acc: 21.572% 
001  00269 |Loss: 2.150 | Acc: 21.526% 
001  00270 |Loss: 2.149 | Acc: 21.574% 
001  00271 |Loss: 2.148 | Acc: 21.587% 
001  00272 |Loss: 2.147 | Acc: 21.599% 
001  00273 |Loss: 2.146 | Acc: 21.600% 
001  00274 |Loss: 2.144 | Acc: 21.624% 
001  00275 |Loss: 2.144 | Acc: 21.614% 
001  00276 |Loss: 2.144 | Acc: 21.637% 
001  00277 |Loss: 2.142 | Acc: 21.694% 
001  00278 |Loss: 2.141 | Acc: 21.706% 
001  00279 |Loss: 2.141 | Acc: 21.707% 
001  00280 |Loss: 2.139 | Acc: 21.819% 
001  00281 |Loss: 2.140 | Acc: 21.819% 
001  00282 |Loss: 2.138 | Acc: 21.842% 
001  00283 |Loss: 2.137 | Acc: 21.853% 
001  00284 |Loss: 2.137 | Acc: 21.831% 
001  00285 |Loss: 2.136 | Acc: 21.864% 
001  00286 |Loss: 2.134 | Acc: 21.930% 
001  00287 |Loss: 2.135 | Acc: 21.973% 
001  00288 |Loss: 2.133 | Acc: 21.994% 
001  00289 |Loss: 2.132 | Acc: 22.005% 
001  00290 |Loss: 2.131 | Acc: 22.015% 
001  00291 |Loss: 2.131 | Acc: 22.079% 
001  00292 |Loss: 2.130 | Acc: 22.089% 
001  00293 |Loss: 2.129 | Acc: 22.131% 
001  00294 |Loss: 2.128 | Acc: 22.141% 
001  00295 |Loss: 2.128 | Acc: 22.182% 
001  00296 |Loss: 2.127 | Acc: 22.223% 
001  00297 |Loss: 2.126 | Acc: 22.243% 
001  00298 |Loss: 2.126 | Acc: 22.253% 
001  00299 |Loss: 2.125 | Acc: 22.251% 
001  00300 |Loss: 2.124 | Acc: 22.323% 
001  00301 |Loss: 2.123 | Acc: 22.373% 
001  00302 |Loss: 2.121 | Acc: 22.392% 
001  00303 |Loss: 2.121 | Acc: 22.380% 
001  00304 |Loss: 2.120 | Acc: 22.430% 
001  00305 |Loss: 2.119 | Acc: 22.459% 
001  00306 |Loss: 2.118 | Acc: 22.467% 
001  00307 |Loss: 2.118 | Acc: 22.486% 
001  00308 |Loss: 2.117 | Acc: 22.504% 
001  00309 |Loss: 2.117 | Acc: 22.472% 
001  00310 |Loss: 2.116 | Acc: 22.530% 
001  00311 |Loss: 2.116 | Acc: 22.528% 
001  00312 |Loss: 2.115 | Acc: 22.586% 
001  00313 |Loss: 2.114 | Acc: 22.624% 
001  00314 |Loss: 2.114 | Acc: 22.611% 
001  00315 |Loss: 2.113 | Acc: 22.589% 
001  00316 |Loss: 2.113 | Acc: 22.617% 
001  00317 |Loss: 2.112 | Acc: 22.604% 
001  00318 |Loss: 2.112 | Acc: 22.622% 
001  00319 |Loss: 2.111 | Acc: 22.610% 
001  00320 |Loss: 2.111 | Acc: 22.617% 
001  00321 |Loss: 2.110 | Acc: 22.654% 
001  00322 |Loss: 2.109 | Acc: 22.681% 
001  00323 |Loss: 2.108 | Acc: 22.707% 
001  00324 |Loss: 2.108 | Acc: 22.743% 
001  00325 |Loss: 2.107 | Acc: 22.779% 
001  00326 |Loss: 2.108 | Acc: 22.757% 
001  00327 |Loss: 2.107 | Acc: 22.773% 
001  00328 |Loss: 2.106 | Acc: 22.818% 
001  00329 |Loss: 2.106 | Acc: 22.834% 
001  00330 |Loss: 2.105 | Acc: 22.898% 
001  00331 |Loss: 2.103 | Acc: 22.970% 
001  00332 |Loss: 2.103 | Acc: 22.995% 
001  00333 |Loss: 2.101 | Acc: 23.020% 
001  00334 |Loss: 2.101 | Acc: 23.026% 
001  00335 |Loss: 2.100 | Acc: 23.069% 
001  00336 |Loss: 2.099 | Acc: 23.056% 
001  00337 |Loss: 2.100 | Acc: 23.062% 
001  00338 |Loss: 2.099 | Acc: 23.068% 
001  00339 |Loss: 2.098 | Acc: 23.083% 
001  00340 |Loss: 2.097 | Acc: 23.125% 
001  00341 |Loss: 2.096 | Acc: 23.176% 
001  00342 |Loss: 2.096 | Acc: 23.163% 
001  00343 |Loss: 2.097 | Acc: 23.141% 
001  00344 |Loss: 2.097 | Acc: 23.165% 
001  00345 |Loss: 2.097 | Acc: 23.170% 
001  00346 |Loss: 2.096 | Acc: 23.185% 
001  00347 |Loss: 2.096 | Acc: 23.172% 
001  00348 |Loss: 2.096 | Acc: 23.159% 
001  00349 |Loss: 2.095 | Acc: 23.182% 
001  00350 |Loss: 2.094 | Acc: 23.179% 
001  00351 |Loss: 2.094 | Acc: 23.157% 
001  00352 |Loss: 2.094 | Acc: 23.153% 
001  00353 |Loss: 2.094 | Acc: 23.150% 
001  00354 |Loss: 2.093 | Acc: 23.199% 
001  00355 |Loss: 2.093 | Acc: 23.178% 
001  00356 |Loss: 2.094 | Acc: 23.157% 
001  00357 |Loss: 2.093 | Acc: 23.162% 
001  00358 |Loss: 2.093 | Acc: 23.149% 
001  00359 |Loss: 2.093 | Acc: 23.137% 
001  00360 |Loss: 2.093 | Acc: 23.186% 
001  00361 |Loss: 2.092 | Acc: 23.182% 
001  00362 |Loss: 2.092 | Acc: 23.196% 
001  00363 |Loss: 2.092 | Acc: 23.209% 
001  00364 |Loss: 2.091 | Acc: 23.231% 
001  00365 |Loss: 2.090 | Acc: 23.245% 
001  00366 |Loss: 2.090 | Acc: 23.241% 
001  00367 |Loss: 2.090 | Acc: 23.229% 
001  00368 |Loss: 2.089 | Acc: 23.251% 
001  00369 |Loss: 2.089 | Acc: 23.298% 
001  00370 |Loss: 2.088 | Acc: 23.353% 
001  00371 |Loss: 2.087 | Acc: 23.357% 
001  00372 |Loss: 2.087 | Acc: 23.370% 
001  00373 |Loss: 2.086 | Acc: 23.400% 
001  00374 |Loss: 2.086 | Acc: 23.412% 
001  00375 |Loss: 2.085 | Acc: 23.450% 
001  00376 |Loss: 2.085 | Acc: 23.454% 
001  00377 |Loss: 2.084 | Acc: 23.483% 
001  00378 |Loss: 2.084 | Acc: 23.504% 
001  00379 |Loss: 2.083 | Acc: 23.516% 
001  00380 |Loss: 2.083 | Acc: 23.528% 
001  00381 |Loss: 2.082 | Acc: 23.565% 
001  00382 |Loss: 2.082 | Acc: 23.577% 
001  00383 |Loss: 2.081 | Acc: 23.621% 
001  00384 |Loss: 2.079 | Acc: 23.682% 
001  00385 |Loss: 2.078 | Acc: 23.718% 
001  00386 |Loss: 2.078 | Acc: 23.737% 
001  00387 |Loss: 2.078 | Acc: 23.732% 
001  00388 |Loss: 2.078 | Acc: 23.744% 
001  00389 |Loss: 2.077 | Acc: 23.747% 
001  00390 |Loss: 2.076 | Acc: 23.782% 
001  00391 |Loss: 2.076 | Acc: 23.761% 
001  00392 |Loss: 2.076 | Acc: 23.740% 
001  00393 |Loss: 2.075 | Acc: 23.744% 
001  00394 |Loss: 2.075 | Acc: 23.707% 
001  00395 |Loss: 2.074 | Acc: 23.742% 
001  00396 |Loss: 2.073 | Acc: 23.753% 
001  00397 |Loss: 2.073 | Acc: 23.780% 
001  00398 |Loss: 2.072 | Acc: 23.846% 
001  00399 |Loss: 2.072 | Acc: 23.857% 
001  00400 |Loss: 2.071 | Acc: 23.859% 
001  00401 |Loss: 2.071 | Acc: 23.847% 
001  00402 |Loss: 2.070 | Acc: 23.865% 
001  00403 |Loss: 2.069 | Acc: 23.907% 
001  00404 |Loss: 2.068 | Acc: 23.940% 
001  00405 |Loss: 2.068 | Acc: 23.958% 
001  00406 |Loss: 2.067 | Acc: 24.007% 
001  00407 |Loss: 2.066 | Acc: 24.017% 
001  00408 |Loss: 2.066 | Acc: 24.027% 
001  00409 |Loss: 2.065 | Acc: 24.091% 
001  00410 |Loss: 2.065 | Acc: 24.108% 
001  00411 |Loss: 2.064 | Acc: 24.179% 
001  00412 |Loss: 2.064 | Acc: 24.166% 
001  00413 |Loss: 2.063 | Acc: 24.168% 
001  00414 |Loss: 2.062 | Acc: 24.215% 
001  00415 |Loss: 2.062 | Acc: 24.224% 
001  00416 |Loss: 2.061 | Acc: 24.249% 
001  00417 |Loss: 2.060 | Acc: 24.281% 
001  00418 |Loss: 2.060 | Acc: 24.282% 
001  00419 |Loss: 2.059 | Acc: 24.306% 
001  00420 |Loss: 2.059 | Acc: 24.330% 
001  00421 |Loss: 2.058 | Acc: 24.347% 
001  00422 |Loss: 2.058 | Acc: 24.378% 
001  00423 |Loss: 2.058 | Acc: 24.372% 
001  00424 |Loss: 2.057 | Acc: 24.410% 
001  00425 |Loss: 2.056 | Acc: 24.449% 
001  00426 |Loss: 2.055 | Acc: 24.487% 
001  00427 |Loss: 2.054 | Acc: 24.524% 
001  00428 |Loss: 2.054 | Acc: 24.547% 
001  00429 |Loss: 2.053 | Acc: 24.556% 
001  00430 |Loss: 2.053 | Acc: 24.578% 
001  00431 |Loss: 2.053 | Acc: 24.565% 
001  00432 |Loss: 2.052 | Acc: 24.588% 
001  00433 |Loss: 2.051 | Acc: 24.596% 
001  00434 |Loss: 2.050 | Acc: 24.597% 
001  00435 |Loss: 2.050 | Acc: 24.619% 
001  00436 |Loss: 2.049 | Acc: 24.642% 
